"division","gender","belt","weight","fight","day","date","time","winner_idx","comp01_n","ID_1","Name","comp01_club","comp01_dq","comp01_won"
"Master 1","Male","BLUE","Rooster","FIGHT 30","Sat","09/03","01:04 PM",1,"1",1,"Anthony Garcia","American Top Team",0,1
"Master 1","Male","BLUE","Rooster","FIGHT 41","Sat","09/03","02:33 PM",1,"3",2,"Tony Thai Nguyen","CheckMat",0,1
"Master 1","Male","BLUE","Rooster","FIGHT 32","Sat","09/03","01:16 PM",2,"2",3,"Daniel Armando Avilez","Absolute Behring",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 35","Sat","09/03","01:54 PM",2,"4",4,"Emanuel Paul Q Babala","Lansang Brazilian Jiu-Jitsu",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 38","Sat","09/03","02:10 PM",1,"3",5,"Tony Thai Nguyen","CheckMat",0,1
"Master 1","Male","BLUE","Rooster","FIGHT 31","Sat","09/03","01:10 PM",1,"4",6,"Emanuel Paul Q Babala","Lansang Brazilian Jiu-Jitsu",0,1
"Master 1","Male","BLUE","Rooster","FIGHT 34","Sat","09/03","01:37 PM",1,"3",7,"Tony Thai Nguyen","CheckMat",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 26","Fri","09/02","12:44 PM",1,"8",8,"Francisco J ORyan Lesser","Cohab Chile",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"2",9,"Lio Alexander Duarte","Brazilian Top Team",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 30","Fri","09/02","01:22 PM",2,"1",10,"Mark Luebking","CheckMat",1,0
"Master 1","Male","PURPLE","Rooster","FIGHT 35","Fri","09/02","02:01 PM",2,"2",11,"Lio Alexander Duarte","Brazilian Top Team",0,0
"Master 1","Male","PURPLE","Rooster","FIGHT 27","Fri","09/02","12:59 PM",2,"7",12,"Lucas John Wagner","Alliance ",1,0
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"1",13,"Mark Luebking","CheckMat",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"7",14,"Lucas John Wagner","Alliance ",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 31","Fri","09/02","01:32 PM",1,"6",15,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 28","Fri","09/02","01:02 PM",2,"3",16,"Oscar Alberto Borrego","Patrick Almeida Jiu-Jitsu",0,0
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"4",17,"Luis Alberto Ogaz Varela","Soul Fighters BJJ",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"3",18,"Oscar Alberto Borrego","Patrick Almeida Jiu-Jitsu",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 23","Fri","09/02","12:33 PM",1,"6",19,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 24","Fri","09/02","12:36 PM",2,"5",20,"George Christopher A Baron","Aloisio Silva BJJ",0,0
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"6",21,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"5",22,"George Christopher A Baron","Aloisio Silva BJJ",0,1
"Master 1","Male","BROWN","Rooster","FIGHT 28","Thu","09/01","02:17 PM",2,"1",23,"Kryz Patricio Navarro","Renzo Gracie Academy",0,0
"Master 1","Male","BROWN","Rooster","FIGHT 41","Thu","09/01","03:57 PM",2,"5",24,"Ronaldo Coelho Vello Neto","Art of Jiu Jitsu",0,0
"Master 1","Male","BROWN","Rooster","FIGHT 33","Thu","09/01","02:49 PM",1,"2",25,"Luis Angel G Rosito","Alliance ",0,1
"Master 1","Male","BROWN","Rooster","FIGHT 43","Thu","09/01","03:31 PM",2,"6",26,"Jeison Camilo  Mora Pineda","CheckMat",0,0
"Master 1","Male","BROWN","Rooster","FIGHT 36","Thu","09/01","03:18 PM",1,"5",27,"Ronaldo Coelho Vello Neto","Art of Jiu Jitsu",0,1
"Master 1","Male","BROWN","Rooster","FIGHT 35","Thu","09/01","03:07 PM",2,"4",28,"Dylan Taylor Nguyen","Six Blades Jiu-Jitsu",0,0
"Master 1","Male","BROWN","Rooster","FIGHT 38","Thu","09/01","03:03 PM",2,"3",29,"Alejandro Colin","Alliance International ",1,0
"Master 1","Male","BLACK","Rooster","FIGHT 4","Thu","09/01","10:02 AM",1,"7",30,"Eduardo Barboza da Silva","GF Team",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"2",31,"Washington Luis do M Lima","GF Team",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 8","Thu","09/01","10:28 AM",2,"1",32,"João Pedro Oliveira Rodrigues","Soul Fighters BJJ",0,0
"Master 1","Male","BLACK","Rooster","FIGHT 14","Thu","09/01","11:16 AM",1,"5",33,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 3","Thu","09/01","10:08 AM",2,"8",34,"Bryan Joseph Ramirez","Kronos BJJ HQ",0,0
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"1",35,"João Pedro Oliveira Rodrigues","Soul Fighters BJJ",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"8",36,"Bryan Joseph Ramirez","Kronos BJJ HQ",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 11","Thu","09/01","10:52 AM",2,"6",37,"Zachary Taylor Thompson","Ares BJJ",0,0
"Master 1","Male","BLACK","Rooster","FIGHT 9","Thu","09/01","10:43 AM",1,"5",38,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"4",39,"Mark A Millare","Hart Jiu-Jitsu",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"3",40,"Andres O Poveda","Nova União",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 9","Thu","09/01","10:36 AM",1,"6",41,"Zachary Taylor Thompson","Ares BJJ",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 4","Thu","09/01","10:16 AM",1,"5",42,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"6",43,"Zachary Taylor Thompson","Ares BJJ",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"5",44,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 28","Sat","09/03","01:06 PM",1,"1",45,"Ricardo A Calamari","Roberto Traven BJJ",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 35","Sat","09/03","01:39 PM",1,"2",46,"Zulkainar Shaibek Uulu","CheckMat",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 38","Sat","09/03","02:12 PM",2,"8",47,"Jacob William Beggs","Renato Tavares Association",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 50","Sat","09/03","03:45 PM",2,"2",48,"Zulkainar Shaibek Uulu","CheckMat",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 42","Sat","09/03","02:46 PM",2,"11",49,"Joshua Michael Davenport","Mike Moses' Competition Team",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 29","Sat","09/03","01:13 PM",1,"8",50,"Jacob William Beggs","Renato Tavares Association",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 34","Sat","09/03","01:54 PM",2,"7",51,"Unai Garmendia Maeztu","Six Blades Jiu-Jitsu",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 45","Sat","09/03","03:09 PM",1,"3",52,"Johnnie Hai Nguyen","CheckMat",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 47","Sat","09/03","03:33 PM",2,"9",53,"Douglas Richard Cass","Jiu-Jitsu For Life Team",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 31","Sat","09/03","01:34 PM",1,"3",54,"Johnnie Hai Nguyen","CheckMat",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 37","Sat","09/03","02:07 PM",1,"4",55,"James Alexander Cusick","Cascao Jiu-Jitsu",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 40","Sat","09/03","02:26 PM",2,"10",56,"Luis Yordan Puente","Carlson Gracie Team",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 44","Sat","09/03","02:59 PM",1,"9",57,"Douglas Richard Cass","Jiu-Jitsu For Life Team",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 32","Sat","09/03","01:41 PM",2,"6",58,"Viet Quoc Tran","One Jiu-Jitsu USA",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 36","Sat","09/03","02:01 PM",2,"5",59,"Shawn Michael Galligan","RMNU Team",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 12","Fri","09/02","10:53 AM",2,"8",60,"Tommy Lee Santos Zarate","Autore",1,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 14","Fri","09/02","11:12 AM",1,"6",61,"Kenneth Todd Clatterbuck","Ares BJJ",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 13","Fri","09/02","11:05 AM",2,"12",62,"Thomas Choe","Aspire To Inspire",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 26","Fri","09/02","12:24 PM",2,"6",63,"Kenneth Todd Clatterbuck","Ares BJJ",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 18","Fri","09/02","11:32 AM",2,"18",64,"MichaelAngelo Ablola Remorca","Rilion Gracie",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 9","Fri","09/02","10:42 AM",1,"12",65,"Thomas Choe","Aspire To Inspire",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 17","Fri","09/02","11:25 AM",2,"10",66,"Marc Alexandre Poitevien","Logic",1,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 19","Fri","09/02","11:37 AM",1,"1",67,"Eneko Aburruza","Studio NW2 - BJJ",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 24","Fri","09/02","12:09 PM",2,"22",68,"Jorge F Chavez Polack","Alliance ",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 10","Fri","09/02","10:50 AM",1,"16",69,"Richard Bernabel","BARBOSA JIU-JITSU USA",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 16","Fri","09/02","11:23 AM",2,"14",70,"Victor Heng Thai","Aegis Jiu-Jitsu",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 15","Fri","09/02","11:16 AM",1,"1",71,"Eneko Aburruza","Studio NW2 - BJJ",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 20","Fri","09/02","11:44 AM",2,"4",72,"Charles Ford Grover lll","Luiz Palhares Jiu-Jitsu",0,0
"Master 1","Male","PURPLE","Light Feather","BYE","BYE","BYE","BYE",1,"1",73,"Eneko Aburruza","Studio NW2 - BJJ",0,1
"Master 1","Male","PURPLE","Light Feather","BYE","BYE","BYE","BYE",1,"4",74,"Charles Ford Grover lll","Luiz Palhares Jiu-Jitsu",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 10","Fri","09/02","10:23 AM",2,"7",75,"Adrian Edward Lopez","Kiko France BJJ",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 12","Fri","09/02","10:39 AM",1,"5",76,"Amon Jarret Dessources","Atliens Odyssey",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 16","Fri","09/02","11:20 AM",2,"19",77,"Marvin Orlando Amaya Menendez","R1NG BJJ",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 26","Fri","09/02","12:15 PM",1,"5",78,"Amon Jarret Dessources","Atliens Odyssey",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 17","Fri","09/02","11:26 AM",2,"17",79,"Nathaniel Marvin Bickley Caron","Brasa CTA",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 18","Fri","09/02","11:18 AM",2,"11",80,"Karl Daupan","Princeton Brazilian Jiu-Jitsu",1,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 14","Fri","09/02","10:59 AM",2,"9",81,"Tomas Ignacio Sanchez","Cohab Chile",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 23","Fri","09/02","11:53 AM",2,"23",82,"Jesse Michael Diana","Luiz Palhares Jiu-Jitsu",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 24","Fri","09/02","11:57 AM",2,"3",83,"Alexander Panyasiri","Impact Jiu Jitsu",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 19","Fri","09/02","11:29 AM",2,"15",84,"Tolonbai Kamalov ","Atos Jiu-Jitsu",1,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 15","Fri","09/02","11:06 AM",2,"13",85,"Walid El Khoumssi","Renato Tavares Association",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 20","Fri","09/02","11:31 AM",2,"2",86,"Branden Kyle Whittington","Ares BJJ",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 21","Fri","09/02","11:35 AM",1,"3",87,"Alexander Panyasiri","Impact Jiu Jitsu",0,1
"Master 1","Male","PURPLE","Light Feather","BYE","BYE","BYE","BYE",1,"2",88,"Branden Kyle Whittington","Ares BJJ",0,1
"Master 1","Male","PURPLE","Light Feather","BYE","BYE","BYE","BYE",1,"3",89,"Alexander Panyasiri","Impact Jiu Jitsu",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 28","Fri","09/02","12:41 PM",1,"5",90,"Amon Jarret Dessources","Atliens Odyssey",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 17","Thu","09/01","11:56 AM",1,"15",91,"Tony Quang Anh Nguyen","Cicero Costha Internacional",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 22","Thu","09/01","12:42 PM",1,"14",92,"Travis Hayward Anderson","Hurricane Jiu-Jitsu",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 25","Thu","09/01","12:48 PM",1,"1",93,"Phillip Heng Thai","Fifty/50 Jiu-Jitsu",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 34","Thu","09/01","02:12 PM",2,"4",94,"Maui H T Lacaze","Mako Team Paris",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 28","Thu","09/01","01:14 PM",1,"4",95,"Maui H T Lacaze","Mako Team Paris",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"1",96,"Phillip Heng Thai","Fifty/50 Jiu-Jitsu",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"4",97,"Maui H T Lacaze","Mako Team Paris",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 30","Thu","09/01","01:26 PM",1,"12",98,"Aristides AraujoRodriguez","BARBOSA JIU-JITSU USA",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 31","Thu","09/01","01:33 PM",2,"10",99,"Fabio Andrés Arboleda Larrartw","Dojo Leo Iturralde",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 23","Thu","09/01","12:35 PM",1,"12",100,"Aristides AraujoRodriguez","BARBOSA JIU-JITSU USA",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 24","Thu","09/01","12:44 PM",1,"10",101,"Fabio Andrés Arboleda Larrartw","Dojo Leo Iturralde",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 29","Thu","09/01","01:22 PM",2,"8",102,"Justin Penaflor","TAC Team BJJ",1,0
"Master 1","Male","BROWN","Light Feather","FIGHT 27","Thu","09/01","01:11 PM",2,"5",103,"Lucas Pinto de Souza","Art of Jiu Jitsu",0,0
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"8",104,"Justin Penaflor","TAC Team BJJ",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"5",105,"Lucas Pinto de Souza","Art of Jiu Jitsu",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 20","Thu","09/01","12:26 PM",1,"16",106,"Samuel Alejandr Franchi","Atos Jiu-Jitsu",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 25","Thu","09/01","01:09 PM",2,"13",107,"Joseph Gomez","One Jiu-Jitsu USA",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 26","Thu","09/01","01:13 PM",2,"2",108,"Brian Paul Vierra","American Jiu-Jitsu Syndicate",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 42","Thu","09/01","03:28 PM",2,"21",109,"Claudio Javier Candia Vicencio","CheckMat",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 28","Thu","09/01","01:30 PM",2,"3",110,"Ricardo Benjamin Sulzbach","Art of Jiu Jitsu",0,0
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"2",111,"Brian Paul Vierra","American Jiu-Jitsu Syndicate",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"3",112,"Ricardo Benjamin Sulzbach","Art of Jiu Jitsu",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 30","Thu","09/01","01:53 PM",2,"7",113,"Misha Kanai","Massbjj Arlington",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 38","Thu","09/01","02:58 PM",2,"6",114,"Luis Alberto Gomez","Carlson Gracie Team",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 23","Thu","09/01","12:46 PM",2,"11",115,"Tyler B Weaver","Cicero Costha Internacional",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 31","Thu","09/01","01:57 PM",1,"9",116,"Franco Marcelo Villegas Toledo","GF Team",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 27","Thu","09/01","01:20 PM",1,"7",117,"Misha Kanai","Massbjj Arlington",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 34","Thu","09/01","02:18 PM",1,"6",118,"Luis Alberto Gomez","Carlson Gracie Team",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"7",119,"Misha Kanai","Massbjj Arlington",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"6",120,"Luis Alberto Gomez","Carlson Gracie Team",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 46","Thu","09/01","03:55 PM",1,"16",121,"Samuel Alejandr Franchi","Atos Jiu-Jitsu",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 5","Thu","09/01","10:19 AM",2,"2",122,"Cesar Rodriguez Jr","RMNU Team",1,0
"Master 1","Male","BLACK","Light Feather","FIGHT 3","Thu","09/01","09:52 AM",2,"4",123,"Francielio Fernandes da Costa","Alliance ",0,0
"Master 1","Male","BLACK","Light Feather","FIGHT 6","Thu","09/01","10:27 AM",1,"7",124,"Santiago Pereyra Furlong","Lotus Club USA",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 13","Thu","09/01","11:30 AM",1,"1",125,"João Ricardo Bordignon Miyao","Cicero Costha Internacional",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 6","Thu","09/01","10:16 AM",2,"6",126,"Justin Ross M Reyes","TAC Team BJJ",0,0
"Master 1","Male","BLACK","Light Feather","FIGHT 1","Thu","09/01","09:40 AM",1,"7",127,"Santiago Pereyra Furlong","Lotus Club USA",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 1","Thu","09/01","09:36 AM",1,"6",128,"Justin Ross M Reyes","TAC Team BJJ",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 10","Thu","09/01","11:03 AM",1,"13",129,"Jeanmarc De Groot","Bibiano Fernandes BJJ",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 10","Thu","09/01","10:44 AM",1,"1",130,"João Ricardo Bordignon Miyao","Cicero Costha Internacional",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 2","Thu","09/01","09:51 AM",2,"3",131,"Kaio Cesar Abrantes Fonseca","Gracie Barra",0,0
"Master 1","Male","BLACK","Light Feather","FIGHT 2","Thu","09/01","09:44 AM",1,"8",132,"Jose Gregorio Orozco Bonilla","Dojo Leo Iturralde",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 8","Thu","09/01","10:35 AM",2,"9",133,"Cody Todd Vaught","Kronos BJJ HQ",0,0
"Master 1","Male","BLACK","Light Feather","FIGHT 7","Thu","09/01","10:19 AM",1,"1",134,"João Ricardo Bordignon Miyao","Cicero Costha Internacional",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 7","Thu","09/01","10:22 AM",2,"5",135,"Ighor Luis Alvim Horta","Brazilian Top Team",1,0
"Master 1","Male","BLACK","Light Feather","BYE","BYE","BYE","BYE",1,"1",136,"João Ricardo Bordignon Miyao","Cicero Costha Internacional",0,1
"Master 1","Male","BLUE","Feather","FIGHT 6","Sat","09/03","10:27 AM",2,"30",137,"Jeffery Malavong","Atos Jiu-Jitsu",0,0
"Master 1","Male","BLUE","Feather","FIGHT 8","Sat","09/03","10:12 AM",2,"26",138,"Kevin Ernesto Rodriguez","Caveirinha Jiu-Jitsu Family USA",0,0
"Master 1","Male","BLUE","Feather","FIGHT 10","Sat","09/03","10:46 AM",1,"4",139,"Ryan Cass Waldron","Cascao Jiu-Jitsu",0,1
"Master 1","Male","BLUE","Feather","FIGHT 17","Sat","09/03","11:24 AM",2,"6",140,"Eunsol Kim","Brasa CTA",0,0
"Master 1","Male","BLUE","Feather","FIGHT 11","Sat","09/03","10:52 AM",1,"6",141,"Eunsol Kim","Brasa CTA",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"4",142,"Ryan Cass Waldron","Cascao Jiu-Jitsu",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"6",143,"Eunsol Kim","Brasa CTA",0,1
"Master 1","Male","BLUE","Feather","FIGHT 13","Sat","09/03","11:03 AM",1,"14",144,"Alexander Vu Dao","Unity Jiu-jitsu",0,1
"Master 1","Male","BLUE","Feather","FIGHT 14","Sat","09/03","11:10 AM",2,"18",145,"Sir Darwin Bosing Dante","Brazilian Top Team",0,0
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"14",146,"Alexander Vu Dao","Unity Jiu-jitsu",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"10",147,"Rubin Pushpangathan","Nova União",0,1
"Master 1","Male","BLUE","Feather","FIGHT 7","Sat","09/03","10:32 AM",2,"23",148,"Patrickjames Rivera Ignacio","Shap Bros BJJ / Syndicate MMA",0,0
"Master 1","Male","BLUE","Feather","FIGHT 16","Sat","09/03","10:57 AM",1,"18",149,"Sir Darwin Bosing Dante","Brazilian Top Team",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"23",150,"Patrickjames Rivera Ignacio","Shap Bros BJJ / Syndicate MMA",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"18",151,"Sir Darwin Bosing Dante","Brazilian Top Team",0,1
"Master 1","Male","BLUE","Feather","FIGHT 10","Sat","09/03","10:27 AM",1,"32",152,"Jarett Colin Conner","Barum Jiu-Jitsu",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"11",153,"Max Warren Pender","R1NG BJJ",0,1
"Master 1","Male","BLUE","Feather","FIGHT 14","Sat","09/03","11:02 AM",2,"1",154,"Kevin Michael Lowery","Alliance International ",0,0
"Master 1","Male","BLUE","Feather","FIGHT 21","Sat","09/03","11:48 AM",2,"28",155,"Jesse Kupono Alesna","Relson Gracie",0,0
"Master 1","Male","BLUE","Feather","FIGHT 18","Sat","09/03","11:17 AM",1,"28",156,"Jesse Kupono Alesna","Relson Gracie",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"1",157,"Kevin Michael Lowery","Alliance International ",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"28",158,"Jesse Kupono Alesna","Relson Gracie",0,1
"Master 1","Male","BLUE","Feather","FIGHT 17","Sat","09/03","11:28 AM",2,"24",159,"Odao Lovanh","Gracie Barra",0,0
"Master 1","Male","BLUE","Feather","FIGHT 16","Sat","09/03","11:24 AM",2,"20",160,"Sergio Lopez","Six Blades Jiu-Jitsu",0,0
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"16",161,"Luis Rodrigo De L Mendoza","Alliance Jiu-Jitsu",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"12",162,"Kristopher Michel Rhodes","Alliance ",0,1
"Master 1","Male","BLUE","Feather","FIGHT 11","Sat","09/03","10:34 AM",1,"24",163,"Odao Lovanh","Gracie Barra",0,1
"Master 1","Male","BLUE","Feather","FIGHT 12","Sat","09/03","10:44 AM",1,"20",164,"Sergio Lopez","Six Blades Jiu-Jitsu",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"24",165,"Odao Lovanh","Gracie Barra",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"20",166,"Sergio Lopez","Six Blades Jiu-Jitsu",0,1
"Master 1","Male","BLUE","Feather","FIGHT 9","Sat","09/03","10:32 AM",2,"29",167,"Jerremy Newman Sage","Coachella Valley BJJ",0,0
"Master 1","Male","BLUE","Feather","FIGHT 12","Sat","09/03","10:59 AM",1,"25",168,"Nathaniel Wallace Regions","Gracie Humaita",0,1
"Master 1","Male","BLUE","Feather","FIGHT 11","Sat","09/03","10:46 AM",1,"3",169,"Shivam Chandra Vadan","Excellence School of Jiu-Jitsu USA",0,1
"Master 1","Male","BLUE","Feather","FIGHT 20","Sat","09/03","11:54 AM",2,"9",170,"Damon Michael Vincent Cabel","Alliance International ",0,0
"Master 1","Male","BLUE","Feather","FIGHT 18","Sat","09/03","11:24 AM",2,"5",171,"Alfonso Gerardo Morin Jr","Baret Submissions USA",1,0
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"3",172,"Shivam Chandra Vadan","Excellence School of Jiu-Jitsu USA",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"5",173,"Alfonso Gerardo Morin Jr","Baret Submissions USA",0,1
"Master 1","Male","BLUE","Feather","FIGHT 14","Sat","09/03","11:08 AM",1,"13",174,"Nuri Cimen","Cicero Costha Internacional",0,1
"Master 1","Male","BLUE","Feather","FIGHT 15","Sat","09/03","11:27 AM",1,"9",175,"Damon Michael Vincent Cabel","Alliance International ",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"13",176,"Nuri Cimen","Cicero Costha Internacional",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"9",177,"Damon Michael Vincent Cabel","Alliance International ",0,1
"Master 1","Male","BLUE","Feather","FIGHT 6","Sat","09/03","10:04 AM",2,"21",178,"Sean Yang Jay","Carpe Diem BJJ Singapore",0,0
"Master 1","Male","BLUE","Feather","FIGHT 12","Sat","09/03","10:53 AM",2,"17",179,"Juan J Disla De La Cruz","Alliance ",0,0
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"21",180,"Sean Yang Jay","Carpe Diem BJJ Singapore",0,1
"Master 1","Male","BLUE","Feather","BYE","BYE","BYE","BYE",1,"17",181,"Juan J Disla De La Cruz","Alliance ",0,1
